"id_player","id_team","player_name","nationality","field_position","age","team_country","team","assists","corners_taken","offsides","dribbles","total_attempts","attempts_on_target","attempts_off_target","blocked","balls_recovered","tackles","tackles_won","tackles_lost","clearance_attempted","X","fouls_committed","fouls_suffered","yellow_cards","red_cards","passing_accuracy...","passes_attempted","passes_completed","crossing_accuracy...","crosses_attempted","crosses_completed","free_kick_taken","goals","inside_area","outside_area","right_foot","left_foot","head","other","penalties_scored","distance_covered.km.h.","top_speed","minutes_played","matches_appareance"
250004721,50109,"Granit Xhaka","Switzerland","Midfielder",32,"Germany","Bayer 04 Leverkusen",0,0,0,0,2,0,1,1,18,9,3,6,4,86,5,0,1,0,91.75,228,210,0,0,0,3,0,0,0,0,0,0,0,0,38.33,31.34,288,4
250004986,52797,"Lukáš Pauschek","Slovakia","Defender",31,"Slovakia","ŠK Slovan Bratislava",0,0,0,0,0,0,0,0,0,1,0,1,2,694,0,0,0,0,50,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1.63,26.69,12,1
250005231,50164,"Arijan Ademi","North Macedonia","Midfielder",33,"Croatia","GNK Dinamo",0,0,2,0,4,0,3,1,2,6,1,5,1,125,4,2,1,0,82.5,51,43,0,2,0,0,0,0,0,0,0,0,0,0,21.8,30.23,160,4
250005335,52919,"İlkay Gündoğan","Germany","Midfielder",34,"England","Manchester City",0,14,0,0,8,3,3,2,8,2,2,0,1,627,0,0,0,0,95,237,225,30.77,13,4,3,1,0,1,1,0,0,0,0,28.24,27.85,218,4
250005343,50062,"Luuk De Jong","Netherlands","Forward",34,"Netherlands","PSV Eindhoven",0,0,1,2,6,1,3,2,5,4,2,2,4,71,5,3,1,0,70,117,82,0,1,0,0,0,0,0,0,0,0,0,0,41.76,29.45,341,4
250006998,2602798,"Cristian Portu","Spain","Midfielder",32,"Spain","Girona FC",0,0,0,0,0,0,0,0,0,0,0,0,0,344,2,1,0,0,87.5,11,10,0,0,0,0,0,0,0,0,0,0,0,0,6.38,30.97,40,2
250008901,52919,"Kevin De Bruyne","Belgium","Midfielder",33,"England","Manchester City",0,1,0,1,4,0,1,3,1,1,0,1,0,254,3,0,0,0,81,41,33,33.34,3,1,0,0,0,0,0,0,0,0,0,7.16,32.25,51,2
250010223,75797,"Rémy Cabella","France","Midfielder",34,"France","LOSC Lille",0,3,0,3,3,1,0,2,2,1,0,1,0,414,1,3,0,0,94.34,54,50,33.34,3,1,0,0,0,0,0,0,0,0,0,14.19,29.21,107,3
250010259,52919,"Kyle Walker","England","Defender",34,"England","Manchester City",0,0,0,0,1,1,0,0,0,0,0,0,0,693,0,0,0,0,93,14,13,0,0,0,0,0,0,0,0,0,0,0,0,1.73,28.92,12,1
250013022,52797,"Tigran Barseghyan","Armenia","Midfielder",31,"Slovakia","ŠK Slovan Bratislava",0,5,3,11,6,1,2,3,4,2,2,0,1,165,3,9,1,0,73.5,102,77,28.58,7,2,1,0,0,0,0,0,0,0,0,38.5,34.17,338,4
